full_text,Filtering,Case_Folding,Tokenizing,Stemming,Stopwords_Removal
Sejenak aku lupa ada insomnia ,Sejenak aku lupa ada insomnia ,sejenak aku lupa ada insomnia ,"['sejenak', 'aku', 'lupa', 'ada', 'insomnia']","['jenak', 'aku', 'lupa', 'ada', 'insomnia']","['jenak', 'lupa', 'insomnia']"
Lapar... jalan dulu nyari penumpang biar bisa makan.. bismillah. Semoga dicukupkan rejekinya hari ini.. hehehe apa itu tanggalan merah dan akhir pekan..,Lapar jalan dulu nyari penumpang biar bisa makan bismillah Semoga dicukupkan rejekinya hari ini hehehe apa itu tanggalan merah dan akhir pekan,lapar jalan dulu nyari penumpang biar bisa makan bismillah semoga dicukupkan rejekinya hari ini hehehe apa itu tanggalan merah dan akhir pekan,"['lapar', 'jalan', 'dulu', 'nyari', 'penumpang', 'biar', 'bisa', 'makan', 'bismillah', 'semoga', 'dicukupkan', 'rejekinya', 'hari', 'ini', 'hehehe', 'apa', 'itu', 'tanggalan', 'merah', 'dan', 'akhir', 'pekan']","['lapar', 'jalan', 'dulu', 'nyari', 'tumpang', 'biar', 'bisa', 'makan', 'bismillah', 'moga', 'cukup', 'rejekinya', 'hari', 'ini', 'hehehe', 'apa', 'itu', 'tanggal', 'merah', 'dan', 'akhir', 'pekan']","['lapar', 'jalan', 'nyari', 'tumpang', 'biar', 'makan', 'bismillah', 'moga', 'rejekinya', 'hehehe', 'tanggal', 'merah', 'pekan']"
@nina_cn11 Ssmangat dan jangan lupa makan siang, Ssmangat dan jangan lupa makan siang, ssmangat dan jangan lupa makan siang,"['ssmangat', 'dan', 'jangan', 'lupa', 'makan', 'siang']","['ssmangat', 'dan', 'jangan', 'lupa', 'makan', 'siang']","['ssmangat', 'lupa', 'makan', 'siang']"
@hikaripulse @insomnia_clips @roblox_fess mjb itu bukan dibuka resletingnya body mini kan udah sekalian ada cd nya. kalo dipakein baju klasik cd-nya tembus makanya jadi kaya gitu,   mjb itu bukan dibuka resletingnya body mini kan udah sekalian ada cd nya kalo dipakein baju klasik cdnya tembus makanya jadi kaya gitu,   mjb itu bukan dibuka resletingnya body mini kan udah sekalian ada cd nya kalo dipakein baju klasik cdnya tembus makanya jadi kaya gitu,"['mjb', 'itu', 'bukan', 'dibuka', 'resletingnya', 'body', 'mini', 'kan', 'udah', 'sekalian', 'ada', 'cd', 'nya', 'kalo', 'dipakein', 'baju', 'klasik', 'cdnya', 'tembus', 'makanya', 'jadi', 'kaya', 'gitu']","['mjb', 'itu', 'bukan', 'buka', 'resletingnya', 'body', 'mini', 'kan', 'udah', 'sekali', 'ada', 'cd', 'nya', 'kalo', 'dipakein', 'baju', 'klasik', 'cdnya', 'tembus', 'makanya', 'jadi', 'kaya', 'gitu']","['mjb', 'buka', 'resletingnya', 'body', 'mini', 'udah', 'cd', 'nya', 'kalo', 'dipakein', 'baju', 'klasik', 'cdnya', 'tembus', 'kaya', 'gitu']"
@insomnia_clips @roblox_fess itu resletingnya kenapa dibuka ,  itu resletingnya kenapa dibuka ,  itu resletingnya kenapa dibuka ,"['itu', 'resletingnya', 'kenapa', 'dibuka']","['itu', 'resletingnya', 'kenapa', 'buka']","['resletingnya', 'buka']"
@insomnia_clips @roblox_fess itu fungsi CD lingerie merah diluar buat apaan? ,  itu fungsi CD lingerie merah diluar buat apaan ,  itu fungsi cd lingerie merah diluar buat apaan ,"['itu', 'fungsi', 'cd', 'lingerie', 'merah', 'diluar', 'buat', 'apaan']","['itu', 'fungsi', 'cd', 'lingerie', 'merah', 'luar', 'buat', 'apa']","['fungsi', 'cd', 'lingerie', 'merah']"
@insomnia_clips @hikaripulse @roblox_fess Ini mah gak toomuch kek punya sender masih relate,   Ini mah gak toomuch kek punya sender masih relate,   ini mah gak toomuch kek punya sender masih relate,"['ini', 'mah', 'gak', 'toomuch', 'kek', 'punya', 'sender', 'masih', 'relate']","['ini', 'mah', 'gak', 'toomuch', 'kek', 'punya', 'sender', 'masih', 'relate']","['mah', 'gak', 'toomuch', 'kek', 'sender', 'relate']"
Lah yeoboku kpopers wkwk. Insomnia once uaena suka tripleS. Semuanya d suka sma dia smpai beli albumnya jga wkwk klau skrang udh nggk wota lgi udh pensiun,Lah yeoboku kpopers wkwk Insomnia once uaena suka tripleS Semuanya d suka sma dia smpai beli albumnya jga wkwk klau skrang udh nggk wota lgi udh pensiun,lah yeoboku kpopers wkwk insomnia once uaena suka triples semuanya d suka sma dia smpai beli albumnya jga wkwk klau skrang udh nggk wota lgi udh pensiun,"['lah', 'yeoboku', 'kpopers', 'wkwk', 'insomnia', 'once', 'uaena', 'suka', 'triples', 'semuanya', 'd', 'suka', 'sma', 'dia', 'smpai', 'beli', 'albumnya', 'jga', 'wkwk', 'klau', 'skrang', 'udh', 'nggk', 'wota', 'lgi', 'udh', 'pensiun']","['lah', 'yeoboku', 'kpopers', 'wkwk', 'insomnia', 'once', 'uaena', 'suka', 'triples', 'semua', 'd', 'suka', 'sma', 'dia', 'smpai', 'beli', 'album', 'jga', 'wkwk', 'klau', 'skrang', 'udh', 'nggk', 'wota', 'lgi', 'udh', 'pensiun']","['yeoboku', 'kpopers', 'wkwk', 'insomnia', 'once', 'uaena', 'suka', 'triples', 'd', 'suka', 'sma', 'smpai', 'beli', 'album', 'jga', 'wkwk', 'klau', 'skrang', 'udh', 'nggk', 'wota', 'lgi', 'udh', 'pensiun']"
Surya insomnia mirip Joss wayar cok JOSSGAWIN INVINCIBLE #JossGawinFancon,Surya insomnia mirip Joss wayar cok JOSSGAWIN INVINCIBLE ,surya insomnia mirip joss wayar cok jossgawin invincible ,"['surya', 'insomnia', 'mirip', 'joss', 'wayar', 'cok', 'jossgawin', 'invincible']","['surya', 'insomnia', 'mirip', 'joss', 'wayar', 'cok', 'jossgawin', 'invincible']","['surya', 'insomnia', 'joss', 'wayar', 'cok', 'jossgawin', 'invincible']"
Nggaaaaa insomnia juga bagus sayangggg,Nggaaaaa insomnia juga bagus sayangggg,nggaaaaa insomnia juga bagus sayangggg,"['nggaaaaa', 'insomnia', 'juga', 'bagus', 'sayangggg']","['nggaaaaa', 'insomnia', 'juga', 'bagus', 'sayangggg']","['nggaaaaa', 'insomnia', 'bagus', 'sayangggg']"
insomnia gang,insomnia gang,insomnia gang,"['insomnia', 'gang']","['insomnia', 'gang']","['insomnia', 'gang']"
@vivzeuna Woiya dong. Kalau nggak cakep nanti mana mungkin InSomnia terus terpikat ke aku. Tujuan muliaku adalah biar mereka terus setia sama kami. Nggak bakalan ngejar kok! Kamu yang tendang nanti aku pegangin tali kekangnya biar nggak ngejar kamu (risiko ditanggung pribadi)., Woiya dong Kalau nggak cakep nanti mana mungkin InSomnia terus terpikat ke aku Tujuan muliaku adalah biar mereka terus setia sama kami Nggak bakalan ngejar kok Kamu yang tendang nanti aku pegangin tali kekangnya biar nggak ngejar kamu risiko ditanggung pribadi, woiya dong kalau nggak cakep nanti mana mungkin insomnia terus terpikat ke aku tujuan muliaku adalah biar mereka terus setia sama kami nggak bakalan ngejar kok kamu yang tendang nanti aku pegangin tali kekangnya biar nggak ngejar kamu risiko ditanggung pribadi,"['woiya', 'dong', 'kalau', 'nggak', 'cakep', 'nanti', 'mana', 'mungkin', 'insomnia', 'terus', 'terpikat', 'ke', 'aku', 'tujuan', 'muliaku', 'adalah', 'biar', 'mereka', 'terus', 'setia', 'sama', 'kami', 'nggak', 'bakalan', 'ngejar', 'kok', 'kamu', 'yang', 'tendang', 'nanti', 'aku', 'pegangin', 'tali', 'kekangnya', 'biar', 'nggak', 'ngejar', 'kamu', 'risiko', 'ditanggung', 'pribadi']","['woiya', 'dong', 'kalau', 'nggak', 'cakep', 'nanti', 'mana', 'mungkin', 'insomnia', 'terus', 'pikat', 'ke', 'aku', 'tuju', 'mulia', 'adalah', 'biar', 'mereka', 'terus', 'setia', 'sama', 'kami', 'nggak', 'bakal', 'ngejar', 'kok', 'kamu', 'yang', 'tendang', 'nanti', 'aku', 'pegangin', 'tali', 'kekang', 'biar', 'nggak', 'ngejar', 'kamu', 'risiko', 'tanggung', 'pribadi']","['woiya', 'nggak', 'cakep', 'insomnia', 'pikat', 'tuju', 'mulia', 'biar', 'setia', 'nggak', 'ngejar', 'tendang', 'pegangin', 'tali', 'kekang', 'biar', 'nggak', 'ngejar', 'risiko', 'tanggung', 'pribadi']"
Ada yang takut haechan selama hiatus nggak bisa ngelakuin hobinya tenang aja ini lee haechan banyak hal yang bisa dia lakuin semoga kalian nggak lupa gimana insomnia bisa kebentuk. Setelah ini kita bakal ketemu lee haechan yang lebih kuat lebih berani jadi ayo sembuh bareng,Ada yang takut haechan selama hiatus nggak bisa ngelakuin hobinya tenang aja ini lee haechan banyak hal yang bisa dia lakuin semoga kalian nggak lupa gimana insomnia bisa kebentuk Setelah ini kita bakal ketemu lee haechan yang lebih kuat lebih berani jadi ayo sembuh bareng,ada yang takut haechan selama hiatus nggak bisa ngelakuin hobinya tenang aja ini lee haechan banyak hal yang bisa dia lakuin semoga kalian nggak lupa gimana insomnia bisa kebentuk setelah ini kita bakal ketemu lee haechan yang lebih kuat lebih berani jadi ayo sembuh bareng,"['ada', 'yang', 'takut', 'haechan', 'selama', 'hiatus', 'nggak', 'bisa', 'ngelakuin', 'hobinya', 'tenang', 'aja', 'ini', 'lee', 'haechan', 'banyak', 'hal', 'yang', 'bisa', 'dia', 'lakuin', 'semoga', 'kalian', 'nggak', 'lupa', 'gimana', 'insomnia', 'bisa', 'kebentuk', 'setelah', 'ini', 'kita', 'bakal', 'ketemu', 'lee', 'haechan', 'yang', 'lebih', 'kuat', 'lebih', 'berani', 'jadi', 'ayo', 'sembuh', 'bareng']","['ada', 'yang', 'takut', 'haechan', 'lama', 'hiatus', 'nggak', 'bisa', 'ngelakuin', 'hobi', 'tenang', 'aja', 'ini', 'lee', 'haechan', 'banyak', 'hal', 'yang', 'bisa', 'dia', 'lakuin', 'moga', 'kalian', 'nggak', 'lupa', 'gimana', 'insomnia', 'bisa', 'bentuk', 'telah', 'ini', 'kita', 'bakal', 'ketemu', 'lee', 'haechan', 'yang', 'lebih', 'kuat', 'lebih', 'berani', 'jadi', 'ayo', 'sembuh', 'bareng']","['takut', 'haechan', 'hiatus', 'nggak', 'ngelakuin', 'hobi', 'tenang', 'aja', 'lee', 'haechan', 'lakuin', 'moga', 'nggak', 'lupa', 'gimana', 'insomnia', 'bentuk', 'ketemu', 'lee', 'haechan', 'kuat', 'berani', 'ayo', 'sembuh', 'bareng']"
aku akhir2 ini insomnia tapi semangat ngopi nya gapernah pudar,aku akhir ini insomnia tapi semangat ngopi nya gapernah pudar,aku akhir ini insomnia tapi semangat ngopi nya gapernah pudar,"['aku', 'akhir', 'ini', 'insomnia', 'tapi', 'semangat', 'ngopi', 'nya', 'gapernah', 'pudar']","['aku', 'akhir', 'ini', 'insomnia', 'tapi', 'semangat', 'ngopi', 'nya', 'gapernah', 'pudar']","['insomnia', 'semangat', 'ngopi', 'nya', 'gapernah', 'pudar']"
Ngga Chan. Gua butuh lagu Insomnia buat nemenin begadang ya,Ngga Chan Gua butuh lagu Insomnia buat nemenin begadang ya,ngga chan gua butuh lagu insomnia buat nemenin begadang ya,"['ngga', 'chan', 'gua', 'butuh', 'lagu', 'insomnia', 'buat', 'nemenin', 'begadang', 'ya']","['ngga', 'chan', 'gua', 'butuh', 'lagu', 'insomnia', 'buat', 'nemenin', 'begadang', 'ya']","['ngga', 'chan', 'gua', 'butuh', 'lagu', 'insomnia', 'nemenin', 'begadang', 'ya']"
km release sendiri aja bisa gak sih chan itu insomnia aku suka banget tau mana full eng jadi cepet hafalnya :(,km release sendiri aja bisa gak sih chan itu insomnia aku suka banget tau mana full eng jadi cepet hafalnya ,km release sendiri aja bisa gak sih chan itu insomnia aku suka banget tau mana full eng jadi cepet hafalnya ,"['km', 'release', 'sendiri', 'aja', 'bisa', 'gak', 'sih', 'chan', 'itu', 'insomnia', 'aku', 'suka', 'banget', 'tau', 'mana', 'full', 'eng', 'jadi', 'cepet', 'hafalnya']","['km', 'release', 'sendiri', 'aja', 'bisa', 'gak', 'sih', 'chan', 'itu', 'insomnia', 'aku', 'suka', 'banget', 'tau', 'mana', 'full', 'eng', 'jadi', 'cepet', 'hafal']","['km', 'release', 'aja', 'gak', 'sih', 'chan', 'insomnia', 'suka', 'banget', 'tau', 'full', 'eng', 'cepet', 'hafal']"
Bertahun-tahun insomnia. Pas pindah ke jkt ga pernahh lagi. Wow... alhamdulillah banget jam 9 udah ngantuk ,Bertahuntahun insomnia Pas pindah ke jkt ga pernahh lagi Wow alhamdulillah banget jam  udah ngantuk ,bertahuntahun insomnia pas pindah ke jkt ga pernahh lagi wow alhamdulillah banget jam  udah ngantuk ,"['bertahuntahun', 'insomnia', 'pas', 'pindah', 'ke', 'jkt', 'ga', 'pernahh', 'lagi', 'wow', 'alhamdulillah', 'banget', 'jam', 'udah', 'ngantuk']","['bertahuntahun', 'insomnia', 'pas', 'pindah', 'ke', 'jkt', 'ga', 'pernahh', 'lagi', 'wow', 'alhamdulillah', 'banget', 'jam', 'udah', 'ngantuk']","['bertahuntahun', 'insomnia', 'pas', 'pindah', 'jkt', 'ga', 'pernahh', 'wow', 'alhamdulillah', 'banget', 'jam', 'udah', 'ngantuk']"
Percaya banget. Bikin rambut rontok parah jerawatan insomnia parah kena meniere maagh dan terakhir kena gastroenteritis ,Percaya banget Bikin rambut rontok parah jerawatan insomnia parah kena meniere maagh dan terakhir kena gastroenteritis ,percaya banget bikin rambut rontok parah jerawatan insomnia parah kena meniere maagh dan terakhir kena gastroenteritis ,"['percaya', 'banget', 'bikin', 'rambut', 'rontok', 'parah', 'jerawatan', 'insomnia', 'parah', 'kena', 'meniere', 'maagh', 'dan', 'terakhir', 'kena', 'gastroenteritis']","['percaya', 'banget', 'bikin', 'rambut', 'rontok', 'parah', 'jerawat', 'insomnia', 'parah', 'kena', 'meniere', 'maagh', 'dan', 'akhir', 'kena', 'gastroenteritis']","['percaya', 'banget', 'bikin', 'rambut', 'rontok', 'parah', 'jerawat', 'insomnia', 'parah', 'kena', 'meniere', 'maagh', 'kena', 'gastroenteritis']"
Oiyaaa dulu pernah janjiin insomnia juga ya bang,Oiyaaa dulu pernah janjiin insomnia juga ya bang,oiyaaa dulu pernah janjiin insomnia juga ya bang,"['oiyaaa', 'dulu', 'pernah', 'janjiin', 'insomnia', 'juga', 'ya', 'bang']","['oiyaaa', 'dulu', 'pernah', 'janjiin', 'insomnia', 'juga', 'ya', 'bang']","['oiyaaa', 'janjiin', 'insomnia', 'ya', 'bang']"
tapi insomnia seenak itu cuy,tapi insomnia seenak itu cuy,tapi insomnia seenak itu cuy,"['tapi', 'insomnia', 'seenak', 'itu', 'cuy']","['tapi', 'insomnia', 'enak', 'itu', 'cuy']","['insomnia', 'enak', 'cuy']"
IYA tapi ttp kita pengen insomnia juga ,IYA tapi ttp kita pengen insomnia juga ,iya tapi ttp kita pengen insomnia juga ,"['iya', 'tapi', 'ttp', 'kita', 'pengen', 'insomnia', 'juga']","['iya', 'tapi', 'ttp', 'kita', 'ken', 'insomnia', 'juga']","['iya', 'ttp', 'ken', 'insomnia']"
Tapi jujur aku suka bgt insomnia gimana dooongggg menurut ku cocok bgt suaramu di lagu itu,Tapi jujur aku suka bgt insomnia gimana dooongggg menurut ku cocok bgt suaramu di lagu itu,tapi jujur aku suka bgt insomnia gimana dooongggg menurut ku cocok bgt suaramu di lagu itu,"['tapi', 'jujur', 'aku', 'suka', 'bgt', 'insomnia', 'gimana', 'dooongggg', 'menurut', 'ku', 'cocok', 'bgt', 'suaramu', 'di', 'lagu', 'itu']","['tapi', 'jujur', 'aku', 'suka', 'bgt', 'insomnia', 'gimana', 'dooongggg', 'turut', 'ku', 'cocok', 'bgt', 'suara', 'di', 'lagu', 'itu']","['jujur', 'suka', 'bgt', 'insomnia', 'gimana', 'dooongggg', 'ku', 'cocok', 'bgt', 'suara', 'lagu']"
Apasi 48 jam melek babi bgt insomnia,Apasi  jam melek babi bgt insomnia,apasi  jam melek babi bgt insomnia,"['apasi', 'jam', 'melek', 'babi', 'bgt', 'insomnia']","['apas', 'jam', 'melek', 'babi', 'bgt', 'insomnia']","['apas', 'jam', 'melek', 'babi', 'bgt', 'insomnia']"
Why am I having insomnia. Takkan sebab minum coke malam2 kot,Why am I having insomnia Takkan sebab minum coke malam kot,why am i having insomnia takkan sebab minum coke malam kot,"['why', 'am', 'i', 'having', 'insomnia', 'takkan', 'sebab', 'minum', 'coke', 'malam', 'kot']","['why', 'am', 'i', 'having', 'insomnia', 'tak', 'sebab', 'minum', 'coke', 'malam', 'kot']","['why', 'am', 'i', 'having', 'insomnia', 'minum', 'coke', 'malam', 'kot']"
insomnia terus deh akhir-akhir ini.... ada apakah gerangan!?!?!?,insomnia terus deh akhirakhir ini ada apakah gerangan,insomnia terus deh akhirakhir ini ada apakah gerangan,"['insomnia', 'terus', 'deh', 'akhirakhir', 'ini', 'ada', 'apakah', 'gerangan']","['insomnia', 'terus', 'deh', 'akhirakhir', 'ini', 'ada', 'apakah', 'gerangan']","['insomnia', 'deh', 'akhirakhir', 'gerangan']"
semuanya BAGUSSS BANGET tapi aku harap sangat amat berharap insomnia bisa di release kapanpun itu aku akan sangat menunggu insomnia di release,semuanya BAGUSSS BANGET tapi aku harap sangat amat berharap insomnia bisa di release kapanpun itu aku akan sangat menunggu insomnia di release,semuanya bagusss banget tapi aku harap sangat amat berharap insomnia bisa di release kapanpun itu aku akan sangat menunggu insomnia di release,"['semuanya', 'bagusss', 'banget', 'tapi', 'aku', 'harap', 'sangat', 'amat', 'berharap', 'insomnia', 'bisa', 'di', 'release', 'kapanpun', 'itu', 'aku', 'akan', 'sangat', 'menunggu', 'insomnia', 'di', 'release']","['semua', 'bagusss', 'banget', 'tapi', 'aku', 'harap', 'sangat', 'amat', 'harap', 'insomnia', 'bisa', 'di', 'release', 'kapan', 'itu', 'aku', 'akan', 'sangat', 'tunggu', 'insomnia', 'di', 'release']","['bagusss', 'banget', 'harap', 'harap', 'insomnia', 'release', 'tunggu', 'insomnia', 'release']"
stres kronis meningkatkan risiko hipertensi insomnia hingga depresi. teknik sederhana seperti meditasi olahraga dan journaling membantu menjaga kesehatan mental tetap stabil. JOSSGAWIN INVINCIBLE #JossGawinFancon,stres kronis meningkatkan risiko hipertensi insomnia hingga depresi teknik sederhana seperti meditasi olahraga dan journaling membantu menjaga kesehatan mental tetap stabil JOSSGAWIN INVINCIBLE ,stres kronis meningkatkan risiko hipertensi insomnia hingga depresi teknik sederhana seperti meditasi olahraga dan journaling membantu menjaga kesehatan mental tetap stabil jossgawin invincible ,"['stres', 'kronis', 'meningkatkan', 'risiko', 'hipertensi', 'insomnia', 'hingga', 'depresi', 'teknik', 'sederhana', 'seperti', 'meditasi', 'olahraga', 'dan', 'journaling', 'membantu', 'menjaga', 'kesehatan', 'mental', 'tetap', 'stabil', 'jossgawin', 'invincible']","['stres', 'kronis', 'tingkat', 'risiko', 'hipertensi', 'insomnia', 'hingga', 'depresi', 'teknik', 'sederhana', 'seperti', 'meditasi', 'olahraga', 'dan', 'journaling', 'bantu', 'jaga', 'sehat', 'mental', 'tetap', 'stabil', 'jossgawin', 'invincible']","['stres', 'kronis', 'tingkat', 'risiko', 'hipertensi', 'insomnia', 'depresi', 'teknik', 'sederhana', 'meditasi', 'olahraga', 'journaling', 'bantu', 'jaga', 'sehat', 'mental', 'stabil', 'jossgawin', 'invincible']"
Tp kita tetep butuh insomnia,Tp kita tetep butuh insomnia,tp kita tetep butuh insomnia,"['tp', 'kita', 'tetep', 'butuh', 'insomnia']","['tp', 'kita', 'tetep', 'butuh', 'insomnia']","['tp', 'tetep', 'butuh', 'insomnia']"
setia menunggu insomnia nya haechan beneran rilis. LHC2 LHC3 lesgo,setia menunggu insomnia nya haechan beneran rilis LHC LHC lesgo,setia menunggu insomnia nya haechan beneran rilis lhc lhc lesgo,"['setia', 'menunggu', 'insomnia', 'nya', 'haechan', 'beneran', 'rilis', 'lhc', 'lhc', 'lesgo']","['setia', 'tunggu', 'insomnia', 'nya', 'haechan', 'beneran', 'rilis', 'lhc', 'lhc', 'lesgo']","['setia', 'tunggu', 'insomnia', 'nya', 'haechan', 'beneran', 'rilis', 'lhc', 'lhc', 'lesgo']"
noooo insomnia semoga bisa masuk di second album ya chan ,noooo insomnia semoga bisa masuk di second album ya chan ,noooo insomnia semoga bisa masuk di second album ya chan ,"['noooo', 'insomnia', 'semoga', 'bisa', 'masuk', 'di', 'second', 'album', 'ya', 'chan']","['noooo', 'insomnia', 'moga', 'bisa', 'masuk', 'di', 'second', 'album', 'ya', 'chan']","['noooo', 'insomnia', 'moga', 'masuk', 'second', 'album', 'ya', 'chan']"
iyaa iyaaa. semua lagu di taste emang bagus banget better than insomnia,iyaa iyaaa semua lagu di taste emang bagus banget better than insomnia,iyaa iyaaa semua lagu di taste emang bagus banget better than insomnia,"['iyaa', 'iyaaa', 'semua', 'lagu', 'di', 'taste', 'emang', 'bagus', 'banget', 'better', 'than', 'insomnia']","['iyaa', 'iyaaa', 'semua', 'lagu', 'di', 'taste', 'emang', 'bagus', 'banget', 'better', 'than', 'insomnia']","['iyaa', 'iyaaa', 'lagu', 'taste', 'emang', 'bagus', 'banget', 'better', 'than', 'insomnia']"
nooo insomnia sama martini blue tetep jadi lagi yg gue harapkan untuk dirilis!!,nooo insomnia sama martini blue tetep jadi lagi yg gue harapkan untuk dirilis,nooo insomnia sama martini blue tetep jadi lagi yg gue harapkan untuk dirilis,"['nooo', 'insomnia', 'sama', 'martini', 'blue', 'tetep', 'jadi', 'lagi', 'yg', 'gue', 'harapkan', 'untuk', 'dirilis']","['nooo', 'insomnia', 'sama', 'martini', 'blue', 'tetep', 'jadi', 'lagi', 'yg', 'gue', 'harap', 'untuk', 'rilis']","['nooo', 'insomnia', 'martini', 'blue', 'tetep', 'yg', 'gue', 'harap', 'rilis']"
tttapi...insomnia jugaa bagus heyyy,tttapiinsomnia jugaa bagus heyyy,tttapiinsomnia jugaa bagus heyyy,"['tttapiinsomnia', 'jugaa', 'bagus', 'heyyy']","['tttapiinsomnia', 'jugaa', 'bagus', 'heyyy']","['tttapiinsomnia', 'jugaa', 'bagus', 'heyyy']"
syifa insomnia salsabila kembali,syifa insomnia salsabila kembali,syifa insomnia salsabila kembali,"['syifa', 'insomnia', 'salsabila', 'kembali']","['syifa', 'insomnia', 'salsabila', 'kembali']","['syifa', 'insomnia', 'salsabila']"
tidak ada satu hari pun tanpa pening pusing minum panadol migrain insomnia kepala mau pecah hidung tersumbat mata berat astaga,tidak ada satu hari pun tanpa pening pusing minum panadol migrain insomnia kepala mau pecah hidung tersumbat mata berat astaga,tidak ada satu hari pun tanpa pening pusing minum panadol migrain insomnia kepala mau pecah hidung tersumbat mata berat astaga,"['tidak', 'ada', 'satu', 'hari', 'pun', 'tanpa', 'pening', 'pusing', 'minum', 'panadol', 'migrain', 'insomnia', 'kepala', 'mau', 'pecah', 'hidung', 'tersumbat', 'mata', 'berat', 'astaga']","['tidak', 'ada', 'satu', 'hari', 'pun', 'tanpa', 'pening', 'pusing', 'minum', 'panadol', 'migrain', 'insomnia', 'kepala', 'mau', 'pecah', 'hidung', 'sumbat', 'mata', 'berat', 'astaga']","['pening', 'pusing', 'minum', 'panadol', 'migrain', 'insomnia', 'kepala', 'pecah', 'hidung', 'sumbat', 'mata', 'berat', 'astaga']"
@Ali_Asghar09 Insomnia hai bhaiya, Insomnia hai bhaiya, insomnia hai bhaiya,"['insomnia', 'hai', 'bhaiya']","['insomnia', 'hai', 'bhaiya']","['insomnia', 'hai', 'bhaiya']"
@Jodiminto 1.Indah Sundari Psikolog Playlist &amp; konten-psikologi dari Indah Sundari topik seperti insomnia self-worth overthinking. ▶️ [Playlist Indah Sundari Psikolog] ▶️ Contoh video Capek Tanpa Alasan? Overthinking Hidup Terasa Hampa ▶️ Video Curhat Bareng Indah , Indah Sundari Psikolog Playlist amp kontenpsikologi dari Indah Sundari topik seperti insomnia selfworth overthinking  Playlist Indah Sundari Psikolog  Contoh video Capek Tanpa Alasan Overthinking Hidup Terasa Hampa  Video Curhat Bareng Indah , indah sundari psikolog playlist amp kontenpsikologi dari indah sundari topik seperti insomnia selfworth overthinking  playlist indah sundari psikolog  contoh video capek tanpa alasan overthinking hidup terasa hampa  video curhat bareng indah ,"['indah', 'sundari', 'psikolog', 'playlist', 'amp', 'kontenpsikologi', 'dari', 'indah', 'sundari', 'topik', 'seperti', 'insomnia', 'selfworth', 'overthinking', 'playlist', 'indah', 'sundari', 'psikolog', 'contoh', 'video', 'capek', 'tanpa', 'alasan', 'overthinking', 'hidup', 'terasa', 'hampa', 'video', 'curhat', 'bareng', 'indah']","['indah', 'sundari', 'psikolog', 'playlist', 'amp', 'kontenpsikologi', 'dari', 'indah', 'sundari', 'topik', 'seperti', 'insomnia', 'selfworth', 'overthinking', 'playlist', 'indah', 'sundari', 'psikolog', 'contoh', 'video', 'capek', 'tanpa', 'alas', 'overthinking', 'hidup', 'asa', 'hampa', 'video', 'curhat', 'bareng', 'indah']","['indah', 'sundari', 'psikolog', 'playlist', 'amp', 'kontenpsikologi', 'indah', 'sundari', 'topik', 'insomnia', 'selfworth', 'overthinking', 'playlist', 'indah', 'sundari', 'psikolog', 'contoh', 'video', 'capek', 'alas', 'overthinking', 'hidup', 'asa', 'hampa', 'video', 'curhat', 'bareng', 'indah']"
Dasar mata insomnia susah euy,Dasar mata insomnia susah euy,dasar mata insomnia susah euy,"['dasar', 'mata', 'insomnia', 'susah', 'euy']","['dasar', 'mata', 'insomnia', 'susah', 'euy']","['dasar', 'mata', 'insomnia', 'susah', 'euy']"
istirahat bentar abis itu mo live edisi insomnia.,istirahat bentar abis itu mo live edisi insomnia,istirahat bentar abis itu mo live edisi insomnia,"['istirahat', 'bentar', 'abis', 'itu', 'mo', 'live', 'edisi', 'insomnia']","['istirahat', 'bentar', 'abis', 'itu', 'mo', 'live', 'edisi', 'insomnia']","['istirahat', 'bentar', 'abis', 'mo', 'live', 'edisi', 'insomnia']"
